ID,Timestamp,Sensor A,Sensor X,Sensor Y,Sensor Z
523,2024-11-27 10:31:26,2,1675,1574,1972
524,2024-11-27 10:31:27,2,1675,1577,1973
525,2024-11-27 10:31:27,2,1678,1575,1972
526,2024-11-27 10:31:28,2,1677,1580,1968
527,2024-11-27 10:31:28,2,1674,1572,1962
528,2024-11-27 10:31:29,2,1691,1596,1965
529,2024-11-27 10:31:31,2,1687,1596,1971
530,2024-11-27 10:31:32,2,1684,1590,1968
531,2024-11-27 10:31:32,2,1662,1587,1973
532,2024-11-27 10:31:33,2,1658,1587,1971
533,2024-11-27 10:31:33,2,1661,1591,1974
534,2024-11-27 10:31:34,2,1617,1631,1970
535,2024-11-27 10:31:34,2,1589,1638,1968
536,2024-11-27 10:31:35,2,1605,1641,1984
537,2024-11-27 10:31:35,2,1625,1633,1971
538,2024-11-27 10:31:36,2,1676,1639,1971
539,2024-11-27 10:31:36,2,1687,1641,1985
540,2024-11-27 10:31:37,2,1697,1624,1983
541,2024-11-27 10:31:38,2,1699,1627,1981
542,2024-11-27 10:31:38,2,1662,1610,1961
543,2024-11-27 10:31:39,2,1647,1610,1971
544,2024-11-27 10:31:39,2,1639,1584,1972
545,2024-11-27 10:31:40,2,1672,1633,1978
546,2024-11-27 10:31:40,2,1659,1617,1974
547,2024-11-27 10:31:41,2,1669,1625,1963
548,2024-11-27 10:31:41,2,1683,1659,1967
549,2024-11-27 10:31:42,2,1636,1638,1978
550,2024-11-27 10:31:42,2,1621,1616,1971
551,2024-11-27 10:31:44,2,1621,1606,1966
552,2024-11-27 10:31:44,2,1629,1604,1967
553,2024-11-27 10:31:45,2,1673,1644,1975
554,2024-11-27 10:31:45,2,1675,1654,1972
555,2024-11-27 10:31:46,2,1691,1669,1974
556,2024-11-27 10:31:46,2,1715,1651,1972
557,2024-11-27 10:31:47,2,1689,1585,1968
558,2024-11-27 10:31:47,2,1681,1567,1974
559,2024-11-27 10:31:48,2,1624,1582,1971
560,2024-11-27 10:31:48,2,1589,1595,1961
561,2024-11-27 10:31:49,2,1584,1602,1959
562,2024-11-27 10:31:51,2,1655,1592,1971
563,2024-11-27 10:31:51,2,1630,1580,1971
564,2024-11-27 10:31:52,2,1605,1568,1963
565,2024-11-27 10:31:52,2,1587,1576,1949
566,2024-11-27 10:31:53,2,1647,1606,1966
567,2024-11-27 10:31:53,2,1700,1597,1966
568,2024-11-27 10:31:54,2,1760,1616,1960
569,2024-11-27 10:31:54,2,1785,1616,1957
570,2024-11-27 10:31:55,2,1783,1624,1945
571,2024-11-27 10:31:55,2,1781,1618,1954
572,2024-11-27 10:31:56,2,1734,1623,1963
573,2024-11-27 10:31:57,2,1631,1611,1974
574,2024-11-27 10:31:58,2,1624,1607,1968
575,2024-11-27 10:31:58,2,1610,1611,1966
576,2024-11-27 10:31:59,2,1586,1624,1968
577,2024-11-27 10:31:59,2,1589,1604,1961
578,2024-11-27 10:32:00,2,1620,1609,1966
579,2024-11-27 10:32:00,2,1643,1607,1971
580,2024-11-27 10:32:01,2,1663,1610,1972
581,2024-11-27 10:32:01,2,1662,1613,1974
582,2024-11-27 10:32:02,2,1680,1596,1966
583,2024-11-27 10:32:02,2,1699,1578,1966
584,2024-11-27 10:32:04,2,1658,1613,1970
585,2024-11-27 10:32:05,2,1645,1613,1964
586,2024-11-27 10:32:05,2,1604,1623,1965
587,2024-11-27 10:32:06,2,1618,1651,1970
588,2024-11-27 10:32:06,2,1622,1630,1967
589,2024-11-27 10:32:07,2,1645,1630,1963
590,2024-11-27 10:32:07,2,1659,1611,1967
591,2024-11-27 10:32:08,2,1686,1626,1967
592,2024-11-27 10:32:08,2,1694,1651,1972
593,2024-11-27 10:32:09,2,1658,1633,1971
594,2024-11-27 10:32:09,2,1669,1605,1973
595,2024-11-27 10:32:11,2,1655,1669,1974
596,2024-11-27 10:32:12,2,1662,1718,1957
597,2024-11-27 10:32:12,2,1667,1745,1946
598,2024-11-27 10:32:13,2,1663,1661,1975
599,2024-11-27 10:32:13,2,1654,1600,1970
600,2024-11-27 10:32:14,2,1625,1557,1961
601,2024-11-27 10:32:14,2,1612,1531,1957
602,2024-11-27 10:32:15,2,1612,1543,1960
603,2024-11-27 10:32:15,2,1665,1581,1968
604,2024-11-27 10:32:16,2,1698,1631,1976
605,2024-11-27 10:32:16,2,1718,1674,1966
606,2024-11-27 10:32:25,3,1357,1649,1727
607,2024-11-27 10:32:25,3,1355,1676,1720
608,2024-11-27 10:32:26,3,1360,1695,1700
609,2024-11-27 10:32:26,3,1363,1679,1693
610,2024-11-27 10:32:27,3,1339,1658,1722
611,2024-11-27 10:32:27,3,1364,1641,1680
612,2024-11-27 10:32:28,3,1328,1613,1694
613,2024-11-27 10:32:28,3,1342,1591,1691
614,2024-11-27 10:32:29,3,1318,1575,1728
615,2024-11-27 10:32:29,3,1350,1667,1676
616,2024-11-27 10:32:30,3,1347,1638,1646
617,2024-11-27 10:32:32,3,1354,1651,1680
618,2024-11-27 10:32:33,3,1353,1646,1701
619,2024-11-27 10:32:33,3,1364,1694,1731
620,2024-11-27 10:32:34,3,1355,1691,1669
621,2024-11-27 10:32:34,3,1347,1669,1672
622,2024-11-27 10:32:35,3,1352,1659,1658
623,2024-11-27 10:32:35,3,1350,1647,1670
624,2024-11-27 10:32:36,3,1342,1645,1656
625,2024-11-27 10:32:36,3,1345,1658,1669
626,2024-11-27 10:32:37,3,1354,1652,1684
627,2024-11-27 10:32:37,3,1347,1642,1679
628,2024-11-27 10:32:39,3,1349,1678,1688
629,2024-11-27 10:32:39,3,1357,1683,1677
630,2024-11-27 10:32:40,3,1357,1660,1700
631,2024-11-27 10:32:40,3,1353,1656,1706
632,2024-11-27 10:32:41,3,1363,1647,1682
633,2024-11-27 10:32:41,3,1341,1642,1708
634,2024-11-27 10:32:42,3,1340,1667,1781
635,2024-11-27 10:32:42,3,1352,1628,1711
636,2024-11-27 10:32:43,3,1355,1625,1712
637,2024-11-27 10:32:43,3,1355,1621,1706
638,2024-11-27 10:32:44,3,1352,1639,1715
639,2024-11-27 10:32:45,3,1353,1662,1694
640,2024-11-27 10:32:46,3,1358,1677,1720
641,2024-11-27 10:32:46,3,1359,1660,1754
642,2024-11-27 10:32:47,3,1361,1660,1744
643,2024-11-27 10:32:47,3,1373,1635,1780
644,2024-11-27 10:32:48,3,1371,1631,1770
645,2024-11-27 10:32:48,3,1352,1642,1720
646,2024-11-27 10:32:49,3,1347,1661,1659
647,2024-11-27 10:32:49,3,1356,1664,1658
648,2024-11-27 10:32:50,3,1353,1666,1625
649,2024-11-27 10:32:50,3,1342,1648,1648
650,2024-11-27 10:32:52,3,1367,1657,1708
651,2024-11-27 10:32:53,3,1357,1648,1739
652,2024-11-27 10:32:53,3,1356,1630,1736
653,2024-11-27 10:32:54,3,1345,1648,1654
654,2024-11-27 10:32:54,3,1339,1626,1642
655,2024-11-27 10:32:55,3,1346,1638,1647
656,2024-11-27 10:32:55,3,1343,1638,1637
657,2024-11-27 10:32:56,3,1347,1632,1625
658,2024-11-27 10:32:56,3,1349,1634,1644
659,2024-11-27 10:32:57,3,1342,1624,1662
660,2024-11-27 10:32:57,3,1347,1607,1635
661,2024-11-27 10:32:58,3,1349,1640,1655
662,2024-11-27 10:32:59,3,1354,1645,1655
663,2024-11-27 10:32:59,3,1350,1633,1654
664,2024-11-27 10:33:00,3,1361,1585,1668
665,2024-11-27 10:33:00,3,1346,1641,1647
666,2024-11-27 10:33:01,3,1344,1640,1647
667,2024-11-27 10:33:01,3,1342,1629,1644
668,2024-11-27 10:33:02,3,1339,1628,1652
669,2024-11-27 10:33:02,3,1352,1633,1640
670,2024-11-27 10:33:03,3,1353,1649,1641
671,2024-11-27 10:33:03,3,1341,1659,1650
672,2024-11-27 10:33:04,3,1350,1667,1674
673,2024-11-27 10:33:05,3,1348,1662,1680
674,2024-11-27 10:33:05,3,1358,1648,1700
675,2024-11-27 10:33:06,3,1350,1690,1686
676,2024-11-27 10:33:06,3,1357,1680,1662
677,2024-11-27 10:33:07,3,1345,1642,1664
678,2024-11-27 10:33:07,3,1342,1617,1657
679,2024-11-27 10:33:08,3,1350,1603,1661
680,2024-11-27 10:33:08,3,1342,1596,1662
681,2024-11-27 10:33:09,3,1349,1581,1669
682,2024-11-27 10:33:09,3,1352,1582,1674
683,2024-11-27 10:33:11,3,1358,1609,1722
684,2024-11-27 10:33:11,3,1347,1625,1672
685,2024-11-27 10:33:12,3,1350,1633,1645
686,2024-11-27 10:33:12,3,1348,1638,1637
687,2024-11-27 10:33:13,3,1347,1636,1649
688,2024-11-27 10:33:13,3,1346,1629,1653
689,2024-11-27 10:33:14,3,1351,1633,1647
690,2024-11-27 10:33:14,3,1344,1638,1655
691,2024-11-27 10:33:15,3,1341,1630,1649
692,2024-11-27 10:33:15,3,1355,1644,1669
693,2024-11-27 10:33:16,3,1354,1674,1680
694,2024-11-27 10:33:17,3,1348,1680,1646
695,2024-11-27 10:33:17,3,1342,1659,1625
696,2024-11-27 10:33:18,3,1349,1657,1627
697,2024-11-27 10:33:18,3,1347,1634,1637
698,2024-11-27 10:33:19,3,1345,1640,1644
699,2024-11-27 10:33:19,3,1345,1632,1647
700,2024-11-27 10:33:20,3,1344,1630,1652
701,2024-11-27 10:33:20,3,1343,1631,1666
702,2024-11-27 10:33:21,3,1351,1617,1669
703,2024-11-27 10:33:21,3,1353,1598,1681
704,2024-11-27 10:33:22,3,1354,1630,1692
705,2024-11-27 10:33:23,3,1344,1638,1646
706,2024-11-27 10:33:23,3,1348,1632,1642
707,2024-11-27 10:33:24,3,1346,1633,1645
708,2024-11-27 10:33:24,3,1349,1640,1655
709,2024-11-27 10:33:25,3,1342,1641,1658
710,2024-11-27 10:33:25,3,1348,1633,1648
711,2024-11-27 10:33:26,3,1347,1630,1648
712,2024-11-27 10:33:26,3,1351,1629,1646
713,2024-11-27 10:33:27,3,1351,1654,1676
714,2024-11-27 10:33:27,3,1352,1676,1694
715,2024-11-27 10:33:28,3,1357,1659,1708
716,2024-11-27 10:33:32,3,1351,1638,1669
717,2024-11-27 10:33:33,3,1347,1639,1665
718,2024-11-27 10:33:33,3,1350,1646,1669
719,2024-11-27 10:33:34,3,1345,1640,1700
720,2024-11-27 10:33:34,3,1336,1640,1702
721,2024-11-27 10:33:35,3,1354,1666,1705
722,2024-11-27 10:33:35,3,1357,1669,1712
723,2024-11-27 10:33:36,3,1351,1647,1720
724,2024-11-27 10:33:36,3,1357,1643,1695
725,2024-11-27 10:33:37,3,1350,1630,1687
726,2024-11-27 10:33:37,3,1350,1632,1679
727,2024-11-27 10:33:39,3,1357,1633,1653
728,2024-11-27 10:33:40,3,1345,1630,1654
729,2024-11-27 10:33:41,3,1345,1631,1653
730,2024-11-27 10:33:41,3,1346,1628,1655
731,2024-11-27 10:33:41,3,1345,1630,1670
732,2024-11-27 10:33:42,3,1355,1659,1697
733,2024-11-27 10:33:43,3,1364,1695,1705
734,2024-11-27 10:33:43,3,1379,1727,1721
735,2024-11-27 10:33:43,3,1375,1732,1712
736,2024-11-27 10:33:44,3,1367,1676,1728
737,2024-11-27 10:33:44,3,1355,1630,1685
738,2024-11-27 10:33:46,3,1345,1594,1654
739,2024-11-27 10:33:46,3,1343,1594,1658
740,2024-11-27 10:33:47,3,1350,1634,1654
741,2024-11-27 10:33:47,3,1341,1700,1669
742,2024-11-27 10:33:48,3,1367,1681,1697
743,2024-11-27 10:33:48,3,1381,1705,1687
744,2024-11-27 10:33:49,3,1373,1704,1733
745,2024-11-27 10:33:49,3,1366,1697,1739
746,2024-11-27 10:33:50,3,1364,1666,1724
747,2024-11-27 10:33:50,3,1351,1603,1669
748,2024-11-27 10:33:51,3,1350,1556,1637
749,2024-11-27 10:33:52,3,1360,1529,1633
750,2024-11-27 10:33:53,3,1355,1529,1633
751,2024-11-27 10:33:53,3,1361,1521,1631
752,2024-11-27 10:33:54,3,1374,1531,1640
753,2024-11-27 10:33:54,3,1348,1584,1669
754,2024-11-27 10:33:55,3,1349,1619,1684
755,2024-11-27 10:33:55,3,1364,1621,1683
756,2024-11-27 10:33:56,3,1364,1686,1707
757,2024-11-27 10:33:56,3,1358,1692,1721
758,2024-11-27 10:33:57,3,1358,1679,1693
759,2024-11-27 10:33:57,3,1350,1676,1701
760,2024-11-27 10:33:59,3,1350,1604,1658
761,2024-11-27 10:34:00,3,1350,1597,1656
762,2024-11-27 10:34:00,3,1348,1582,1649
763,2024-11-27 10:34:00,3,1354,1576,1652
764,2024-11-27 10:34:01,3,1351,1597,1654
765,2024-11-27 10:34:02,3,1357,1627,1638
766,2024-11-27 10:34:02,3,1360,1677,1679
767,2024-11-27 10:34:02,3,1363,1657,1677
768,2024-11-27 10:34:03,3,1347,1649,1648
769,2024-11-27 10:34:04,3,1347,1626,1660
770,2024-11-27 10:34:04,3,1348,1640,1666
771,2024-11-27 10:34:06,3,1350,1632,1684
772,2024-11-27 10:34:07,3,1345,1652,1647
773,2024-11-27 10:34:07,3,1350,1695,1649
774,2024-11-27 10:34:08,3,1350,1668,1661
775,2024-11-27 10:34:08,3,1351,1627,1676
776,2024-11-27 10:34:09,3,1352,1644,1682
777,2024-11-27 10:34:09,3,1350,1644,1686
778,2024-11-27 10:34:10,3,1346,1628,1656
779,2024-11-27 10:34:10,3,1367,1617,1701
780,2024-11-27 10:34:11,3,1358,1634,1684
781,2024-11-27 10:34:11,3,1356,1632,1683
782,2024-11-27 10:34:13,3,1350,1616,1676
783,2024-11-27 10:34:13,3,1345,1634,1670
784,2024-11-27 10:34:14,3,1342,1652,1690
785,2024-11-27 10:34:14,3,1364,1654,1727
786,2024-11-27 10:34:15,3,1351,1621,1707
787,2024-11-27 10:34:15,3,1353,1614,1674
788,2024-11-27 10:34:16,3,1364,1652,1686
789,2024-11-27 10:34:16,3,1357,1654,1706
790,2024-11-27 10:34:17,3,1364,1660,1715
791,2024-11-27 10:34:17,3,1364,1644,1715
792,2024-11-27 10:34:18,3,1349,1625,1707
793,2024-11-27 10:34:19,3,1350,1628,1676
794,2024-11-27 10:34:19,3,1349,1628,1675
795,2024-11-27 10:34:20,3,1342,1633,1665
796,2024-11-27 10:34:20,3,1350,1628,1665
797,2024-11-27 10:34:21,3,1347,1629,1667
798,2024-11-27 10:34:21,3,1345,1633,1663
799,2024-11-27 10:34:22,3,1349,1626,1669
800,2024-11-27 10:34:22,3,1342,1627,1660
801,2024-11-27 10:34:23,3,1350,1629,1662
802,2024-11-27 10:34:23,3,1344,1630,1667
803,2024-11-27 10:34:24,3,1351,1628,1658
804,2024-11-27 10:34:31,5,1659,1621,1292
805,2024-11-27 10:34:32,5,1651,1619,1303
806,2024-11-27 10:34:32,5,1654,1609,1311
807,2024-11-27 10:34:33,5,1637,1601,1307
808,2024-11-27 10:34:33,5,1635,1591,1313
809,2024-11-27 10:34:34,5,1642,1583,1314
810,2024-11-27 10:34:34,5,1618,1584,1308
811,2024-11-27 10:34:35,5,1641,1584,1309
812,2024-11-27 10:34:35,5,1666,1604,1305
813,2024-11-27 10:34:36,5,1680,1619,1306
